TV,Radio,Social Media,Sales
16,6.566230788,2.907982773,54.73275715
13,9.237764567,2.409567204,46.67789698
41,15.88644602,2.913410175,150.1778288
83,30.02002826,6.922303959,298.2463398
15,8.437407682,1.40599815,56.5941808
29,9.614382036,1.02716349,105.8891476
55,24.89381148,4.273602146,198.6798248
31,17.35504181,2.289854925,108.7339319
76,24.64889821,7.130115956,270.1894
13,0.431127823,2.229423022,48.28058223
62,24.34518879,5.151483172,224.9610192
42,15.8073374,3.194924641,145.5439916
64,20.24042393,3.921147972,229.6323807
,22.35166709,3.031815334,276.1653513
34,0.226326491,2.372705624,121.3364193
36,3.90019598,0.060401795,123.5261126
60,22.35372075,0.940801841,212.7643968
25,9.905842649,1.853224897,89.8199226
100,36.11609149,3.67429598,353.8046387
92,40.73698967,4.636563904,329.3505396
46,12.69509229,3.88458384,162.1913335
78,35.56822382,2.832450089,276.4013399
37,2.828972458,4.556701242,128.4846619
99,37.26381865,6.88653481,349.8615752
75,20.34898797,1.227180495,272.2501078
54,27.807614,4.060781965,192.4619083
27,7.280088955,2.179478014,96.74937343
21,9.282685174,3.055758381,76.99292807
40,13.05041081,1.971184795,139.2887894
67,24.13761593,5.573093351,234.8510253
90,29.02101661,6.431995293,323.0321827
12,3.567660711,3.558311365,40.79219533
81,27.33577511,5.263650376,290.7775735
43,16.34871104,2.814013458,150.6264947
47,17.37652562,1.905040273,161.7851523
43,18.23019243,4.079293023,155.5991953
75,23.62623841,6.199769157,263.0206872
79,23.51057067,2.188926056,281.5789422
65,24.56354623,3.41966808,231.6700477
43,12.84212842,2.593697318,148.7069665
82,27.64758545,5.611221835,294.9524151
68,21.63920124,3.223647705,242.8248811
98,37.57095206,8.529604366,351.7730679
26,10.59953251,0.679275349,91.92229739
10,6.145248262,1.591116473,32.56682505
32,0.627618771,2.676075167,115.2625668
29,8.852094414,0.041494349,101.8731014
32,11.52414895,2.566791358,111.8997121
29,14.4341063,0.463277331,104.3526653
91,40.10852728,7.236170474,326.3817124
83,34.28141179,8.697487404,300.7305325
