EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,BusinessUnit,AbsentHours
5000,70,87,67,67,87,83,45.23837967,4.102724559,83,96.63785377
5001,70,87,80,80,83,83,34.82155123,3.939439196,83,69.22891986
5002,70,87,67,67,87,83,35.52188124,3.870865484,83,39.83079779
5003,70,83,66,66,83,83,43.66248103,3.678131204,83,87.08526624
5004,70,67,66,66,67,83,33.81247729,2.795167185,83,35.21279316
5005,77,83,80,80,83,83,36.47630763,6.257116364,83,10.11962042
5006,70,67,66,66,67,83,51.24721706,6.063198959,83,105.3825498
5007,77,71,67,67,71,83,44.62567078,3.247430369,83,100.1088351
5008,77,86,77,77,86,83,36.27188246,5.788574648,83,15.81080443
5009,70,67,80,80,67,83,45.18566261,6.650144112,83,77.68692884
5010,70,86,83,80,86,83,34.32802524,5.177981083,83,0
5011,77,68,80,80,81,83,52.27145545,3.915386281,83,110.7260368
5012,70,70,80,80,80,83,44.55735858,5.923707432,83,73.91800018
5013,77,80,66,66,75,83,26.7352331,5.864062325,83,0
5014,70,70,80,80,70,83,45.71898536,6.382865512,83,67.54423127
5015,70,79,66,66,75,83,34.20272725,3.813719353,83,60.96736752
5016,77,78,66,66,78,83,42.03307788,6.443503811,83,62.25106893
5017,77,86,67,67,86,83,46.58728303,5.400090187,83,51.53082338
5018,70,80,66,66,80,83,40.61373844,4.614152102,83,12.38509119
5019,77,66,67,67,66,83,62.2299868,3.325279138,83,183.611439
5020,70,75,66,66,75,83,37.76652266,7.084736911,83,6.024855167
5021,77,75,66,66,75,83,26.42867953,4.030928253,83,0
5022,77,80,66,66,75,83,49.07440722,4.438397863,83,114.7694013
5023,70,66,67,67,66,83,49.41006006,4.786954645,83,85.7344947
5024,77,83,77,77,86,83,17.85879854,6.208500059,83,0
5025,70,66,80,80,66,83,47.63207978,7.006283706,83,114.7862198
5026,70,86,77,77,86,83,31.18664641,4.269370475,83,80.84241958
5027,70,86,67,67,86,83,26.70663961,3.871105419,83,0
5028,77,78,80,80,78,83,39.85096094,4.777379309,83,32.86966118
5029,70,86,67,67,86,83,39.02962967,5.230772039,83,17.95132052
5030,77,81,66,66,78,83,40.84387815,7.255286202,83,19.21486978
5031,77,78,66,66,78,83,31.53362581,6.227283063,83,0
5032,77,86,67,67,86,83,31.9747352,5.961676515,83,51.009789
5033,70,66,67,67,66,83,38.69073378,5.903356095,83,70.89516621
5034,70,78,66,66,78,83,46.90200663,2.623492767,83,87.15217879
5035,77,80,66,66,80,83,50.54929531,3.439721192,83,126.9744907
5036,70,67,66,66,78,83,43.3986701,5.177254145,83,65.69975061
5037,70,78,80,80,78,83,42.03780758,4.088176138,83,83.82643842
5038,77,77,66,66,70,83,34.5290713,1.935862418,83,0
5039,77,80,66,66,80,83,47.73392331,4.596025201,83,133.8606705
5040,70,86,67,67,86,83,32.59845241,3.851833946,83,0
5041,70,77,66,66,80,83,25.22149973,4.548316323,83,0
5042,70,68,66,66,80,83,42.86709176,5.28661642,83,62.90651956
5043,70,86,66,66,86,83,35.59338357,4.572215616,83,55.33222719
