Age,DailyRate,Department,DistanceFromHome,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,StockOptionLevel,TotalWorkingYears,Attrition
42,1147,72,10,77,16799,0,78,1,21,No
52,258,82,8,77,2950,9,78,0,12,No
37,1462,82,11,83,3629,4,78,0,8,No
35,200,82,18,83,9362,2,78,0,10,No
25,949,82,1,77,3229,4,78,1,7,No
26,652,82,7,83,3578,0,78,0,8,No
29,332,72,17,83,7988,1,78,0,10,No
49,1475,82,28,83,4284,3,78,0,20,Yes
29,337,82,14,83,7553,0,89,0,9,Yes
54,971,82,1,83,17328,6,78,0,29,No
58,1055,82,1,77,19701,3,89,1,32,No
55,1136,82,1,68,14732,2,78,2,31,No
36,1174,83,3,83,9278,3,89,0,15,No
31,667,83,1,83,1359,1,78,0,1,Yes
30,855,83,7,68,4779,7,78,2,8,No
31,182,82,8,83,16422,3,78,0,9,No
34,560,82,1,68,2996,5,78,2,10,No
31,202,82,8,83,1261,1,78,0,1,Yes
27,1377,82,11,77,2099,0,78,0,6,No
36,172,82,4,83,5810,1,78,0,10,No
36,329,83,16,77,5647,4,78,2,11,No
47,465,82,1,77,3420,7,78,1,17,No
25,383,83,9,77,4400,3,78,0,6,Yes
37,1413,82,5,83,3500,0,78,0,7,No
56,1255,82,1,77,2066,2,78,1,5,No
47,359,82,2,77,17169,3,78,2,26,No
24,1476,83,4,77,4162,1,89,2,5,No
32,601,83,7,77,9204,4,78,1,7,No
34,401,82,1,77,3294,5,78,1,7,No
41,1283,82,5,77,2127,2,89,0,7,No
40,663,82,9,68,3975,3,78,2,11,No
31,326,83,8,68,10793,1,78,1,13,No
46,377,83,9,68,10096,4,78,1,28,Yes
39,592,82,2,83,3646,2,89,0,11,Yes
31,1445,82,1,83,7446,1,78,0,10,Yes
45,1038,82,20,68,10851,2,89,1,24,No
31,1398,72,8,83,2109,9,78,0,8,No
31,523,82,2,77,3722,6,89,1,7,Yes
45,1448,82,29,77,9380,4,89,2,10,No
48,1221,83,7,68,5486,4,78,3,15,No
34,1107,72,9,77,2742,1,78,0,2,Yes
40,218,82,8,68,13757,2,78,1,16,No
28,866,83,5,83,8463,0,78,0,6,No
44,981,82,5,83,3162,3,78,0,7,No
53,447,82,2,83,16598,4,78,0,35,No
49,1495,82,5,77,6651,2,78,1,20,No
40,896,82,2,68,2345,2,78,1,8,No
44,1467,82,20,83,3420,1,78,0,6,No
33,430,83,7,77,4373,0,78,2,5,No
34,1326,83,3,83,4759,3,78,0,15,No
30,1358,83,16,77,5301,8,78,2,4,No
42,748,82,9,83,3673,1,78,0,12,No
44,383,83,1,77,4768,7,78,1,11,No
30,990,82,7,68,1274,1,78,2,1,No
57,405,82,1,77,4900,0,78,1,13,No
49,1490,82,7,68,10466,3,78,2,29,No
34,829,82,15,68,17007,7,78,2,16,No
28,1496,83,1,77,2909,3,78,1,5,Yes
29,115,83,13,83,5765,5,78,0,7,Yes
34,790,83,24,83,4599,0,89,0,16,Yes
35,660,83,7,77,2404,1,78,1,1,No
24,381,82,9,83,3172,2,89,0,4,Yes
24,830,83,13,77,2033,1,78,1,1,No
44,1193,82,2,83,10209,5,89,0,16,No
29,1246,83,19,68,8620,1,78,2,10,No
