customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
53,77,0,78,78,6,89,78,68,78,78,78,89,78,78,77,89,49.5,312.7,No
56,77,0,78,78,19,89,78,68,78,78,89,78,78,78,77,89,55,1046.5,Yes
48,70,0,89,89,69,78,78,68,89,78,89,78,78,89,84,89,43.95,2960.1,No
49,77,0,89,89,11,89,89,70,78,78,78,89,78,78,77,89,74.35,834.2,Yes
50,70,0,89,78,64,89,89,70,78,89,89,89,89,89,77,89,111.15,6953.4,No
50,70,0,89,78,39,89,78,70,89,78,89,78,89,89,79,89,104.7,4134.85,Yes
57,70,0,78,78,15,89,89,68,89,78,78,78,78,78,77,89,55.7,899.8,Yes
55,77,0,78,78,25,89,78,78,78,78,78,78,78,78,77,78,20.6,541.5,No
57,70,0,78,78,6,89,78,78,78,78,78,89,78,78,84,78,19.65,116.85,No
48,77,0,89,78,66,89,89,70,89,89,89,89,89,89,79,78,115.8,7942.15,No
51,70,0,78,78,61,89,89,68,78,89,89,78,89,89,84,78,88.65,5321.25,No
57,70,1,89,78,43,89,89,70,89,89,78,78,89,78,77,89,94.5,4156.8,No
57,70,0,78,78,12,89,78,78,78,78,78,78,78,78,77,78,20.1,223.6,No
49,77,1,78,78,23,78,78,68,78,78,78,78,78,89,77,89,34.65,768.45,No
51,77,1,89,78,71,78,78,68,78,89,89,89,89,89,77,89,52.3,3765.05,No
48,70,0,78,78,34,89,89,68,78,78,78,78,89,78,77,78,65,2157.5,No
52,70,0,78,78,5,89,78,78,78,78,78,89,78,78,77,78,19.85,108.05,Yes
50,70,0,89,78,41,78,78,68,78,89,78,78,78,78,79,78,35.45,1391.65,No
54,70,0,89,89,72,89,78,78,78,78,78,78,78,78,84,78,19.7,1379.8,No
51,77,1,78,78,14,89,89,70,78,78,78,78,89,89,77,89,95.6,1273.3,No
53,70,0,78,78,41,89,78,78,78,78,78,78,78,78,84,89,19.85,810.45,No
54,70,0,89,89,23,89,89,70,89,78,78,89,78,78,79,78,81.85,1810.85,No
50,77,0,89,89,71,89,78,70,89,89,89,78,89,89,84,78,109.3,7782.85,No
54,70,0,78,78,1,89,78,70,78,78,78,78,78,78,77,89,70.3,70.3,Yes
56,77,0,89,78,72,89,89,78,78,78,78,78,78,78,84,78,25.4,1797.1,No
55,77,0,89,89,6,89,78,70,78,78,78,78,78,78,77,89,69.8,377.85,No
49,77,0,89,89,23,89,78,78,78,78,78,78,78,78,79,89,20,445.3,No
51,77,1,89,78,10,89,89,70,78,78,78,89,78,89,77,78,85.55,851.75,Yes
48,70,0,78,78,72,89,78,70,89,89,89,78,89,89,84,89,109.9,7624.2,No
49,70,0,89,78,7,89,78,68,89,78,78,78,78,78,77,89,50.3,355.1,No
54,77,0,78,89,6,89,78,70,78,78,89,89,89,89,77,78,94.5,575.45,Yes
56,77,0,89,89,9,89,78,70,78,89,78,78,89,89,77,89,101.5,906.85,No
53,70,0,78,78,12,89,89,70,78,89,78,78,78,89,77,89,89.15,1057.55,No
55,70,0,78,78,1,89,78,78,78,78,78,78,78,78,77,89,19.4,19.4,No
57,70,1,89,89,48,78,78,68,78,89,78,78,78,78,79,78,29.9,1388.75,No
51,77,0,78,78,20,89,78,70,78,78,78,78,89,78,77,78,78.8,1641.3,No
49,70,1,89,78,16,89,89,70,78,78,78,78,78,89,77,89,85.35,1375.15,Yes
56,70,0,78,78,2,89,78,70,78,78,78,78,89,78,77,89,79.65,152.7,Yes
52,70,0,78,78,10,89,78,78,78,78,78,78,78,78,79,89,19.3,185.2,No
52,70,1,78,78,2,89,78,70,78,78,78,89,78,89,77,89,79.6,195.05,Yes
57,77,0,89,89,20,89,89,70,78,89,78,78,89,78,77,78,96.8,1826.7,No
52,77,0,89,78,20,89,78,78,78,78,78,78,78,78,79,78,20.65,417.5,No
49,77,0,89,89,19,89,78,78,78,78,78,78,78,78,79,78,19.8,344.5,No
52,77,1,78,78,19,89,89,70,89,78,78,89,89,78,77,89,90.6,1660,Yes
57,77,0,89,78,22,89,78,70,89,89,78,89,89,89,77,89,104.6,2180.55,No
57,70,0,78,78,35,89,89,70,78,78,78,78,78,78,77,78,80.05,2835.9,No
55,70,0,78,78,1,89,78,68,78,78,78,78,78,78,77,78,45.15,45.15,No
56,77,0,78,78,39,89,89,70,78,78,78,89,78,78,77,89,73.15,2730.85,No
49,70,1,89,78,54,89,78,70,78,78,89,78,89,89,79,89,99.1,5437.1,No
50,70,0,78,78,1,89,78,78,78,78,78,78,78,78,77,89,20.2,20.2,Yes
55,77,0,89,78,66,89,89,70,89,78,89,89,89,89,84,89,106.05,6981.35,Yes
48,77,0,78,78,56,89,89,70,89,78,78,78,89,89,77,89,105.35,5794.45,No
51,77,0,78,89,18,89,78,68,78,78,78,78,78,78,77,89,45.65,747.2,No
52,70,0,89,89,16,89,89,70,78,89,78,78,78,78,77,89,79.95,1267.95,No
54,70,0,78,78,68,89,78,68,89,78,89,78,78,78,79,89,54.45,3674.95,No
54,70,1,89,78,53,89,89,78,78,78,78,89,78,78,84,78,25.1,1275.6,No
51,70,0,89,89,72,89,89,68,89,78,89,78,89,89,84,78,84.7,5893.9,No
55,77,0,78,78,9,89,89,70,78,78,78,78,78,78,77,89,75.85,724.65,No
49,70,0,78,78,30,89,78,68,89,78,78,78,78,78,77,89,48.8,1536.75,No
54,70,0,78,78,36,89,89,70,78,89,78,89,89,89,77,89,99.15,3615.6,Yes
54,70,0,78,78,18,78,78,68,78,78,89,89,78,78,77,89,35.2,607.3,No
52,70,1,89,89,55,89,89,68,89,78,89,78,89,78,79,78,76.25,4154.55,No
50,70,0,89,78,39,78,78,68,89,78,89,78,89,89,77,78,55.9,2184.35,Yes
51,77,0,78,78,21,89,89,70,78,89,78,89,78,78,77,89,82.35,1852.85,Yes
53,77,0,78,78,2,78,78,68,78,89,89,78,78,78,77,89,40.4,77.15,Yes
54,77,1,78,78,33,89,89,78,78,78,78,78,78,78,79,89,24.9,847.8,No
55,77,0,89,78,44,78,78,68,78,89,89,89,89,89,84,78,54.3,2390.45,No
53,70,0,89,89,30,89,78,68,89,78,78,78,78,89,77,78,66.3,1923.5,No
54,70,0,89,78,71,89,78,78,78,78,78,78,78,78,84,89,20.9,1493.2,No
49,70,0,78,78,4,89,89,70,78,78,78,78,78,78,77,78,75.35,338.1,Yes
52,77,0,78,89,35,89,78,70,78,78,89,78,89,78,79,89,85.15,3030.6,Yes
49,77,0,89,78,1,89,78,70,78,78,89,78,78,78,77,78,75.35,75.35,No
53,77,1,89,78,23,89,89,70,78,89,89,78,89,89,77,89,104.45,2184.85,No
56,70,0,78,89,22,78,78,68,78,78,89,78,89,89,79,89,49.45,1031.4,No
50,70,0,78,89,49,89,78,78,78,78,78,78,78,78,79,78,19.45,921.3,No
52,70,0,89,89,42,89,78,70,78,78,89,78,89,89,77,89,92.15,3875.4,No
49,70,0,89,89,33,89,78,70,78,78,89,78,89,89,79,89,93.8,3124.5,Yes
56,70,0,89,89,7,89,78,78,78,78,78,89,78,78,84,78,19.85,144.15,No
57,70,0,89,89,67,89,89,70,89,78,89,89,78,89,79,89,100.25,6689,No
50,77,0,78,78,15,89,89,70,78,89,78,78,78,89,77,78,95.7,1451.1,No
55,77,0,89,78,67,89,89,70,78,89,89,89,78,89,84,89,93.15,6368.2,No
53,77,0,89,89,53,89,78,68,89,89,78,78,89,78,84,89,69.7,3729.6,No
56,77,0,89,89,21,89,78,78,78,78,78,89,78,78,79,78,19.8,350.1,No
55,70,0,89,89,40,89,78,68,89,89,78,78,78,89,77,89,71.35,2847.2,No
56,70,0,89,89,22,89,78,78,78,78,78,89,78,78,79,78,20.75,452.35,No
55,77,0,78,78,39,78,78,68,78,78,78,78,78,89,77,89,40.6,1494.5,No
51,77,0,78,78,45,89,78,78,78,78,78,78,78,78,79,89,20.4,930.45,Yes
56,70,0,89,78,2,89,78,78,78,78,78,78,78,78,77,78,20.35,41.85,No
49,70,0,89,89,57,89,78,78,78,78,78,78,78,78,84,78,19.75,1272.05,No
48,77,0,89,89,8,89,78,68,78,78,78,78,89,78,77,89,54.4,475.1,No
54,77,1,89,78,7,89,89,70,89,89,78,78,78,89,77,89,94.7,673.1,Yes
50,77,0,78,78,6,78,78,68,78,89,78,78,78,78,77,89,30.5,208.7,Yes
53,70,0,89,89,7,89,78,78,78,78,78,89,78,78,77,78,20.45,150.75,No
50,77,0,78,78,49,89,89,68,78,78,78,89,89,78,84,89,66.15,3199,No
54,70,0,78,78,65,89,89,70,89,89,78,78,78,78,79,89,89.85,5844.65,No
55,70,0,78,78,55,89,78,68,78,78,78,89,78,78,79,78,45.05,2462.6,No
48,77,0,89,89,71,89,89,68,89,89,89,89,89,89,84,78,86.85,6263.8,No
56,77,0,78,78,35,89,89,70,89,89,89,78,78,78,77,89,96.75,3403.4,No
56,77,1,78,78,3,89,89,70,78,78,78,78,78,78,77,89,77,237.75,Yes
