customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
55,70,0,89,78,1,78,98,68,78,89,78,78,78,78,77,89,29.85,29.85,No
53,77,0,78,78,34,89,78,68,89,78,89,78,78,78,79,78,56.95,1889.5,No
51,77,0,78,78,2,89,78,68,89,89,78,89,78,78,77,89,53.85,108.15,Yes
55,77,0,78,78,45,78,98,68,89,78,89,78,78,78,79,78,42.3,1840.75,No
57,70,0,78,78,2,89,78,70,78,78,78,78,78,78,77,89,70.7,151.65,Yes
57,70,0,78,78,8,89,89,70,78,78,89,78,89,89,77,89,99.65,820.5,Yes
49,77,0,78,89,22,89,89,70,78,89,78,78,89,78,77,89,89.1,1949.4,No
54,70,0,78,78,10,78,98,68,89,78,78,89,78,78,77,78,29.75,301.9,No
55,70,0,89,78,28,89,89,70,78,78,89,78,89,89,77,89,104.8,3046.05,Yes
54,77,0,78,89,62,89,78,68,89,89,78,78,78,78,79,78,56.15,3487.95,No
57,77,0,89,89,13,89,78,68,89,78,78,78,78,78,77,89,49.95,587.45,No
55,77,0,78,78,16,89,78,78,78,78,78,78,78,78,84,78,18.95,326.8,No
56,77,0,89,78,58,89,89,70,78,78,89,78,89,89,79,78,100.35,5681.1,No
48,77,0,78,78,49,89,89,70,78,89,89,89,89,89,77,89,103.7,5036.3,Yes
53,77,0,78,78,25,89,78,70,89,78,89,89,89,89,77,89,105.5,2686.05,No
51,70,0,89,89,69,89,89,70,89,89,89,78,89,89,84,78,113.25,7895.15,No
56,70,0,78,78,52,89,78,78,78,78,78,78,78,78,79,78,20.65,1022.95,No
57,77,0,78,89,71,89,89,70,89,78,89,89,89,89,84,78,106.7,7382.25,No
52,70,0,89,89,10,89,78,68,78,78,89,78,78,78,77,78,55.2,528.35,Yes
52,70,0,78,78,21,89,78,70,78,89,89,78,78,89,77,89,90.05,1862.9,No
56,77,1,78,78,1,78,98,68,78,78,89,78,78,89,77,89,39.65,39.65,Yes
49,77,0,89,78,12,89,78,78,78,78,78,78,78,78,79,78,19.8,202.25,No
49,77,0,78,78,1,89,78,78,78,78,78,89,78,78,77,78,20.15,20.15,Yes
51,70,0,89,78,58,89,89,68,78,89,78,89,78,78,84,89,59.9,3505.1,No
54,77,0,89,89,49,89,78,68,89,89,78,78,78,78,77,78,59.6,2970.3,No
54,70,0,78,78,30,89,78,68,89,89,78,78,78,78,77,89,55.3,1530.6,No
54,77,0,89,89,47,89,89,70,78,89,78,78,89,89,77,89,99.35,4749.15,Yes
56,77,0,89,89,1,78,98,68,78,89,78,89,78,78,77,78,30.2,30.2,Yes
53,77,0,89,78,72,89,89,68,89,89,89,78,89,89,84,89,90.25,6369.45,No
56,70,0,78,89,17,89,78,68,78,78,78,89,89,89,77,89,64.7,1093.1,Yes
51,70,1,89,78,71,89,89,70,89,89,89,78,78,78,84,89,96.35,6766.95,No
52,77,1,89,78,2,89,78,70,78,78,89,89,89,89,77,89,95.5,181.65,No
54,70,0,89,89,27,89,78,68,89,89,89,78,78,78,79,78,66.15,1874.45,No
55,77,0,78,78,1,89,78,78,78,78,78,78,78,78,77,78,20.2,20.2,No
51,77,1,78,78,1,89,78,68,78,78,78,89,78,78,77,78,45.25,45.25,No
54,70,0,89,89,72,89,89,70,89,89,78,78,89,78,84,78,99.9,7251.7,No
54,77,0,78,78,5,89,78,70,78,78,78,78,78,78,77,89,69.7,316.9,Yes
