Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,Age,Customer_Days,MntTotal,AcceptedCmpOverall,AcceptedCmp5
54414,49,109,18,16,24,26,57,2681,193,0,0
54549,8,216,2,6,0,0,68,2277,224,0,0
47111,35,595,71,153,120,112,49,2818,1051,0,0
41003,11,123,133,142,71,44,57,2628,513,0,0
19444,8,16,0,23,3,2,38,2286,44,0,0
36301,53,11,12,35,3,5,44,2406,66,0,0
73059,36,410,112,420,0,82,73,2461,1024,0,0
42731,64,159,2,51,6,2,51,2410,220,0,0
52854,43,105,0,10,0,1,61,2256,116,0,0
22775,40,5,1,8,0,0,42,2534,14,0,0
46681,52,269,15,69,15,19,72,2423,387,0,0
59821,11,629,0,70,0,0,65,2602,699,0,0
50002,21,443,5,71,21,16,66,2536,556,0,0
69755,23,217,77,373,111,23,75,2429,801,0,0
44078,17,24,1,10,2,0,51,2169,37,0,0
30560,6,9,1,5,4,5,44,2526,24,0,0
35924,56,8,0,14,2,3,51,2257,27,0,0
64140,71,1459,0,61,0,15,56,2438,1535,3,1
56386,51,230,48,214,13,32,39,2769,537,0,0
24594,94,1,3,6,10,0,41,2360,20,0,0
75774,27,340,21,134,258,14,39,2217,767,0,0
39228,1,7,1,6,0,3,60,2574,17,0,0
58494,56,298,7,68,4,0,46,2358,377,0,0
58684,71,479,35,179,28,7,39,2172,728,1,0
57136,18,267,140,599,34,12,53,2566,1052,0,0
56551,48,67,4,32,17,2,70,2212,122,0,0
22448,86,3,1,8,23,2,38,2282,37,0,0
82014,48,980,37,265,35,163,59,2837,1480,0,0
34213,2,50,4,28,6,3,57,2819,91,0,0
25358,57,19,0,5,0,0,73,2501,24,0,0
35544,77,30,5,23,4,1,42,2272,63,0,0
36634,0,213,9,76,4,3,66,2556,305,0,0
62670,57,539,30,92,80,46,66,2306,787,0,0
50334,24,284,16,160,84,16,48,2499,560,0,0
72066,55,1003,34,536,134,51,39,2165,1758,2,1
50729,62,239,13,143,45,4,62,2582,444,0,0
34916,89,51,23,82,33,0,52,2569,189,0,0
64892,77,527,24,230,32,24,44,2190,837,0,0
43602,45,19,5,12,10,3,54,2329,49,0,0
33996,46,40,2,15,8,0,31,2450,65,0,0
41473,80,21,8,20,15,3,35,2534,67,0,0
63246,60,593,30,91,29,22,53,2472,765,0,0
36732,71,21,5,3,10,1,61,2341,40,0,0
69084,43,1181,107,199,39,30,50,2381,1556,0,0
77766,97,1004,59,265,115,59,53,2651,1502,1,0
37929,49,202,2,46,3,2,35,2493,255,2,0
86610,66,446,107,768,33,196,69,2456,1550,0,0
80141,20,1184,102,673,52,40,34,2693,2051,1,1
72635,54,390,22,323,104,35,65,2550,874,1,0
69016,61,726,53,363,123,107,50,2743,1372,0,0
20193,18,8,8,22,24,11,29,2737,73,0,0
27573,45,50,15,110,39,15,45,2620,229,0,0
15862,26,1,1,4,11,9,41,2526,26,0,0
49544,0,308,0,73,0,0,44,2661,381,0,0
33228,28,22,2,31,7,4,40,2316,66,0,0
70440,49,690,117,499,76,102,42,2423,1484,1,0
38232,84,43,5,28,7,6,49,2322,89,0,0
22554,38,27,0,10,0,0,65,2762,37,0,0
23536,53,6,0,3,0,0,37,2184,9,0,0
49413,88,205,7,41,3,2,68,2406,258,0,0
42231,99,24,0,8,0,1,51,2255,33,0,0
